magn: x: -54.90 uT, y: 96.30 uT, z: -84.90 uT
gyro  x: 0.05 g, y: -0.02 g, z: -0.07 g
accel x: -0.61 m/s^2, y: -1.70 m/s^2, z: 9.96 m/s^2
magn: x: -66.90 uT, y: 91.50 uT, z: -88.50 uT
gyro  x: 0.03 g, y: -0.04 g, z: -0.06 g
accel x: -0.61 m/s^2, y: -1.70 m/s^2, z: 9.96 m/s^2
magn: x: -71.70 uT, y: 96.30 uT, z: -89.10 uT
gyro  x: 0.03 g, y: -0.03 g, z: -0.07 g
accel x: -0.63 m/s^2, y: -1.73 m/s^2, z: 9.94 m/s^2
magn: x: -81.30 uT, y: 108.30 uT, z: -85.50 uT
gyro  x: 0.05 g, y: -0.04 g, z: -0.07 g
accel x: -0.63 m/s^2, y: -1.73 m/s^2, z: 9.97 m/s^2
magn: x: -69.30 uT, y: 91.50 uT, z: -90.30 uT
gyro  x: 0.05 g, y: -0.04 g, z: -0.06 g
accel x: -0.63 m/s^2, y: -1.70 m/s^2, z: 9.97 m/s^2
magn: x: -74.10 uT, y: 96.30 uT, z: -83.70 uT
gyro  x: 0.05 g, y: -0.04 g, z: -0.06 g
accel x: -0.65 m/s^2, y: -1.72 m/s^2, z: 9.96 m/s^2
magn: x: -64.50 uT, y: 89.10 uT, z: -83.10 uT
gyro  x: 0.05 g, y: -0.03 g, z: -0.06 g
accel x: -0.61 m/s^2, y: -1.72 m/s^2, z: 9.95 m/s^2
magn: x: -76.50 uT, y: 89.10 uT, z: -88.50 uT
gyro  x: 0.04 g, y: -0.03 g, z: -0.06 g
accel x: -0.61 m/s^2, y: -1.71 m/s^2, z: 9.97 m/s^2
magn: x: -71.70 uT, y: 89.10 uT, z: -94.50 uT
gyro  x: 0.04 g, y: -0.04 g, z: -0.05 g
accel x: -0.59 m/s^2, y: -1.71 m/s^2, z: 9.97 m/s^2
magn: x: -78.90 uT, y: 93.90 uT, z: -91.50 uT
gyro  x: 0.05 g, y: -0.03 g, z: -0.05 g
accel x: -0.62 m/s^2, y: -1.71 m/s^2, z: 9.98 m/s^2
magn: x: -69.30 uT, y: 86.70 uT, z: -82.50 uT
gyro  x: 0.03 g, y: -0.03 g, z: -0.06 g
accel x: -0.62 m/s^2, y: -1.74 m/s^2, z: 9.96 m/s^2
magn: x: -76.50 uT, y: 96.30 uT, z: -83.70 uT
gyro  x: 0.05 g, y: -0.04 g, z: -0.05 g
accel x: -0.61 m/s^2, y: -1.70 m/s^2, z: 9.94 m/s^2
magn: x: -66.90 uT, y: 86.70 uT, z: -88.50 uT
gyro  x: 0.05 g, y: -0.04 g, z: -0.06 g
accel x: -0.61 m/s^2, y: -1.72 m/s^2, z: 9.96 m/s^2
magn: x: -69.30 uT, y: 108.30 uT, z: -84.30 uT
gyro  x: 0.05 g, y: -0.03 g, z: -0.06 g
accel x: -0.61 m/s^2, y: -1.71 m/s^2, z: 9.97 m/s^2
magn: x: -71.70 uT, y: 89.10 uT, z: -87.30 uT
gyro  x: 0.05 g, y: -0.03 g, z: -0.06 g
accel x: -0.63 m/s^2, y: -1.72 m/s^2, z: 9.96 m/s^2
magn: x: -98.10 uT, y: 103.50 uT, z: -89.10 uT
gyro  x: 0.05 g, y: -0.04 g, z: -0.06 g
accel x: -0.60 m/s^2, y: -1.71 m/s^2, z: 9.95 m/s^2
